"","Country","Code","Year","Unsafe.water.source..deaths.","Poor.sanitation..deaths.","No.access.to.handwashing.facility..deaths.","Household.air.pollution..deaths.","Outdoor.air.pollution..deaths.","Non.exclusive.breastfeeding..deaths.","Discontinued.breastfeeding..deaths.","Child.wasting..deaths.","Child.stunting..deaths.","Low.birth.weight..deaths.","Secondhand.smoke..deaths.","Alcohol.use..deaths.","Drug.use..deaths.","Diet.low.in.fruits..deaths.","Diet.low.in.vegetables..deaths.","Unsafe.sex..deaths.","Low.physical.activity..deaths.","High.blood.sugar..deaths.","High.cholesterol..deaths.","High.body.mass.index..obesity...deaths.","High.blood.pressure..deaths.","Smoking..deaths.","Iron.deficiency..deaths.","Zinc.deficiency..deaths.","Vitamin.A.deficiency..deaths.","Low.bone.mineral.density..deaths.","Life.expectancy"
"29","Andean Latin America","",1990,6535.7779273,5455.93586188,6245.04670289,20819.9744141,14376.5545271,4233.00609212,315.459286865,20761.8282739,4933.91554172,13727.5232037,3720.97346137,14876.4853987,626.31776535,4509.25947887,5758.77854558,2947.00133346,3073.74097813,11750.3425479,9936.96557206,12590.7086052,17367.2400213,10091.9192766,212.460820519,1337.68539225,546.288760342,817.213727756,NA
"30","Andean Latin America","",1995,4251.25442908,3738.10645243,4369.97346866,15778.5700511,14346.6227555,2554.15870349,175.121204908,14498.1055925,3037.64152264,11331.0134628,3286.30803428,15518.0660471,816.62288594,4971.68638326,6490.71765748,3778.98545014,3582.32397497,14581.8724648,11385.3229305,15499.8543105,20470.4460073,11752.7422196,230.926613433,644.37177237,235.108678617,955.85494442,NA
"31","Andean Latin America","",2000,2766.05180985,2237.52285068,3110.15161298,11753.8976972,13424.8242591,1472.41181297,96.2690593417,9477.22092405,1922.62833034,9137.99660204,2803.14536683,14388.6111566,1027.02994595,4464.50654716,6171.88008464,4380.8106882,3565.7737145,15952.102538,10929.4909114,17034.6005693,21224.4157178,11123.8160928,162.108294878,344.191499205,88.1565865145,1099.98523279,NA
"32","Andean Latin America","",2005,1846.50997785,1459.23928587,2455.55337188,11049.0224352,14805.3939384,941.194259618,58.3034191335,6266.412273,1299.66085684,7535.93806413,2547.81261134,13984.1413562,1247.76141312,4907.45965345,6370.62231449,4882.84359931,3754.61500745,17885.8269483,11404.483322,19364.3548751,23799.2744461,11706.834421,122.489507308,226.19336587,50.3032031974,1239.70126473,NA
"33","Andean Latin America","",2006,1691.41889353,1344.84811,2354.09106134,10825.3189601,14298.7900064,870.39344389,52.9080705869,5753.37883804,1186.74948787,7248.91906831,2456.23569105,13909.1369287,1289.72718141,4924.06741874,6366.48209274,4836.78011722,3771.17114872,18270.5166688,11446.0276713,19842.9637483,24308.2112706,11727.5739088,115.637006045,207.248747773,44.058089962,1284.04825944,NA
"34","Andean Latin America","",2010,1138.5586638,951.527677068,2067.53014665,10136.3351857,13423.7220171,613.20513265,31.704804675,4061.94217235,822.175217901,6340.39237336,2311.24803131,14679.207891,1598.51106711,5396.35518437,6891.30751016,4611.67386328,4228.37491943,21688.4282514,12638.1134854,23946.9133529,28667.9518967,12913.4078886,104.00004225,143.650709527,23.7848322525,1572.3026831,NA
"35","Andean Latin America","",2016,744.902291935,665.500250156,1776.23805736,8003.06204781,13338.5066535,421.225772402,19.6324782261,2637.66709842,515.677412833,5252.74900524,2381.66234839,14967.7371022,1953.243626,5543.60765048,7504.57277802,4868.85108442,4932.00590865,26495.9525065,14290.298831,28998.7158129,34332.1322735,13691.7603161,88.9331104881,92.8833625863,10.8574417498,1955.3569026,NA
"36","Andorra","AND",1990,0.0309951836118,0.0250907107566,0.162733204335,1.87635158624,16.7827872286,0.0128754372004,0.0012697163536,0.0547390212369,0.00304542393975,0.512248793532,4.74246919623,48.4524040654,2.47286227884,8.62576130038,8.52728471343,3.37059891688,13.7604456308,28.5982730427,42.4068463699,28.7722929734,83.7726279354,56.1799182612,0.0042192524627,0.00652813242126,0.000101646547286,3.30770691595,NA
"37","Andorra","AND",1995,0.0367940274084,0.0277185472084,0.208268773,1.3346588456,19.0702711538,0.0113211195807,0.00147949452042,0.0457026760616,0.00199860899539,0.406475714433,5.15784369078,59.9452591214,3.32348592444,10.3209576512,9.82513715708,4.88539549459,15.7794369147,33.6404260245,47.2174842963,36.5125828117,94.8489410403,64.2477998844,0.00523084914907,0.00580954315408,6.76382867643e-05,4.17102671911,NA
"38","Andorra","AND",2000,0.0384085824957,0.0241591044856,0.191011367536,0.847473021256,16.4443728736,0.00908214674591,0.00157090760595,0.0316958370152,0.00131920201803,0.272827470396,3.9751164653,54.1486305993,3.73396395347,8.70248030141,7.84632541141,3.48748316186,13.2751560051,30.2887250469,38.0621056236,36.7967602292,79.3779952826,60.3109021105,0.00550980030402,0.00411380034404,3.95995998417e-05,4.0816586873,NA
"39","Andorra","AND",2005,0.0553541408731,0.0282895545217,0.23130527634,0.821385616007,19.2899697809,0.0103827147014,0.00173726524231,0.0308236857425,0.00137579049298,0.310432981029,4.30643261951,56.7284367314,4.6388851029,9.05471054629,8.19941781502,2.73893932032,15.3479564648,36.1855927101,42.0237573674,43.6815018338,88.8002051072,72.278245351,0.00679899360241,0.00407716766518,4.54087951754e-05,5.40672002594,NA
"40","Andorra","AND",2006,0.0591105659723,0.0291755119351,0.240007900421,0.805879263488,19.870406534,0.0104476784315,0.00176853346064,0.0308204470864,0.00137514396368,0.310550392697,4.43555569707,56.6821118041,4.80470342231,9.06518636591,8.27868337441,2.77711553218,15.7841497355,37.5907451375,43.0089261775,45.3297159076,90.9860991567,74.6210410669,0.0070617755356,0.00408434238656,4.60901455202e-05,5.68430119058,NA
"41","Andorra","AND",2010,0.0737770262154,0.0323719943063,0.262111698144,0.749026932117,22.263377344,0.0107843207311,0.00191289871002,0.0309651394966,0.0013704108856,0.31809108491,4.80282620102,56.1031534384,5.49007003377,10.6106797676,9.75428231196,3.03077952075,18.044632061,43.5610002432,48.39303241,51.5010976273,103.362793091,83.9247011373,0.00810835797588,0.00414952623784,4.94739086487e-05,6.86910368865,NA
